research_category	feature_name	source_type	habitat	final_clade	final_clade_name	n_unique_MAG_all	mean_score_pct_all	prevalence_ge_50_pct_all	prevalence_ge_75_pct_all	n_unique_MAG_excluding_dual_copy	mean_score_pct_excluding_dual_copy	prevalence_ge_50_pct_excluding_dual_copy	prevalence_ge_75_pct_excluding_dual_copy	mean_score_delta_pct	prevalence_ge_50_delta_pct	prevalence_ge_75_delta_pct	exclusion_effect
Arsenic	Arsenite oxidation (arxA/aioA) marker carriage	Independent non-focal arsenic HMM-marker carriage	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	0	0	0	6	0	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Arsenic	Arsenite oxidation (arxA/aioA) marker carriage	Independent non-focal arsenic HMM-marker carriage	NS	Clade 1	Canonical AioA-associated	1	0	0	0	1	0	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Arsenic	Arsenite oxidation (arxA/aioA) marker carriage	Independent non-focal arsenic HMM-marker carriage	NS	Clade 2	Unknown/uncertain DMSOR	1	0	0	0	1	0	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Arsenic	Respiratory arsenate reduction (arrA) marker carriage	Independent non-focal arsenic HMM-marker carriage	IS	Clade 1	Canonical AioA-associated	1	0	0	0	1	0	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Arsenic	Respiratory arsenate reduction (arrA) marker carriage	Independent non-focal arsenic HMM-marker carriage	IS	Clade 2	Unknown/uncertain DMSOR	5	0	0	0	5	0	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Arsenic	Respiratory arsenate reduction (arrA) marker carriage	Independent non-focal arsenic HMM-marker carriage	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	8.33333333333333	8.33333333333333	8.33333333333333	12	8.33333333333333	8.33333333333333	8.33333333333333	0	0	0	unchanged; dual-copy MAG absent from this cell
Arsenic	Respiratory arsenate reduction (arrA) marker carriage	Independent non-focal arsenic HMM-marker carriage	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	10	10	10	20	10	10	10	0	0	0	unchanged; dual-copy MAG absent from this cell
Arsenic	Respiratory arsenate reduction (arrA) marker carriage	Independent non-focal arsenic HMM-marker carriage	AS	Clade 1	Canonical AioA-associated	1	0	0	0	0	NA	NA	NA	NA	NA	NA	cell becomes empty; original n=1 was descriptive only
Arsenic	Respiratory arsenate reduction (arrA) marker carriage	Independent non-focal arsenic HMM-marker carriage	AS	Clade 2	Unknown/uncertain DMSOR	1	0	0	0	1	0	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Arsenic	Respiratory arsenate reduction (arrA) marker carriage	Independent non-focal arsenic HMM-marker carriage	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	0	0	0	0	NA	NA	NA	NA	NA	NA	cell becomes empty; original n=1 was descriptive only
Arsenic	Respiratory arsenate reduction (arrA) marker carriage	Independent non-focal arsenic HMM-marker carriage	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	0	0	0	6	0	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Arsenic	Respiratory arsenate reduction (arrA) marker carriage	Independent non-focal arsenic HMM-marker carriage	NS	Clade 1	Canonical AioA-associated	1	0	0	0	1	0	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Arsenic	Respiratory arsenate reduction (arrA) marker carriage	Independent non-focal arsenic HMM-marker carriage	NS	Clade 2	Unknown/uncertain DMSOR	1	0	0	0	1	0	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	IS	Clade 1	Canonical AioA-associated	1	0	0	0	1	0	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	IS	Clade 2	Unknown/uncertain DMSOR	5	0	0	0	5	0	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	0	0	0	12	0	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	0	0	0	20	0	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	AS	Clade 1	Canonical AioA-associated	1	0	0	0	0	NA	NA	NA	NA	NA	NA	cell becomes empty; original n=1 was descriptive only
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	AS	Clade 2	Unknown/uncertain DMSOR	1	0	0	0	1	0	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	0	0	0	0	NA	NA	NA	NA	NA	NA	cell becomes empty; original n=1 was descriptive only
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	0	0	0	6	0	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	NS	Clade 1	Canonical AioA-associated	1	0	0	0	1	0	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	NS	Clade 2	Unknown/uncertain DMSOR	1	0	0	0	1	0	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	IS	Clade 1	Canonical AioA-associated	1	45	0	0	1	45	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	IS	Clade 2	Unknown/uncertain DMSOR	5	22	0	0	5	22	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	33.3333333333333	0	0	12	33.3333333333333	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	36.75	5	0	20	36.75	5	0	0	0	0	unchanged; dual-copy MAG absent from this cell
