research_category	feature_name	source_type	habitat	final_clade	final_clade_name	n_sequence_memberships	n_unique_MAG	mean_reconstruction_score_pct	prevalence_score_ge_50_pct	prevalence_score_ge_75_pct	inference_allowed	plot_label	x_numeric	y_numeric
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	IS	Clade 2	Unknown/uncertain DMSOR	5	5	22	0	0	TRUE	Carbon | Citrate cycle (TCA cycle, Krebs cycle)	1	38
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	12	33.3333333333333	0	0	TRUE	Carbon | Citrate cycle (TCA cycle, Krebs cycle)	1	38
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	20	36.75	5	0	TRUE	Carbon | Citrate cycle (TCA cycle, Krebs cycle)	1	38
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	AS	Clade 1	Canonical AioA-associated	1	1	15	0	0	FALSE	Carbon | Citrate cycle (TCA cycle, Krebs cycle)	2	38
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	AS	Clade 2	Unknown/uncertain DMSOR	1	1	22.5	0	0	FALSE	Carbon | Citrate cycle (TCA cycle, Krebs cycle)	2	38
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	1	15	0	0	FALSE	Carbon | Citrate cycle (TCA cycle, Krebs cycle)	2	38
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	6	27.0833333333333	0	0	TRUE	Carbon | Citrate cycle (TCA cycle, Krebs cycle)	3	38
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	NS	Clade 1	Canonical AioA-associated	1	1	42.5	0	0	FALSE	Carbon | Citrate cycle (TCA cycle, Krebs cycle)	4	38
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	NS	Clade 2	Unknown/uncertain DMSOR	1	1	10	0	0	FALSE	Carbon | Citrate cycle (TCA cycle, Krebs cycle)	4	38
Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	IS	Clade 1	Canonical AioA-associated	1	1	50	100	0	FALSE	Carbon | Citrate cycle, first carbon oxidation, oxaloacetate =>
2-oxoglutarate	1	37
Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	IS	Clade 2	Unknown/uncertain DMSOR	5	5	23.3333333333333	0	0	TRUE	Carbon | Citrate cycle, first carbon oxidation, oxaloacetate =>
2-oxoglutarate	1	37
Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	12	29.1666666666667	25	0	TRUE	Carbon | Citrate cycle, first carbon oxidation, oxaloacetate =>
2-oxoglutarate	1	37
Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	20	30.8333333333333	5	0	TRUE	Carbon | Citrate cycle, first carbon oxidation, oxaloacetate =>
2-oxoglutarate	1	37
Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	AS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE	Carbon | Citrate cycle, first carbon oxidation, oxaloacetate =>
2-oxoglutarate	2	37
Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	AS	Clade 2	Unknown/uncertain DMSOR	1	1	16.6666666666667	0	0	FALSE	Carbon | Citrate cycle, first carbon oxidation, oxaloacetate =>
2-oxoglutarate	2	37
Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	1	0	0	0	FALSE	Carbon | Citrate cycle, first carbon oxidation, oxaloacetate =>
2-oxoglutarate	2	37
Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	6	13.8888888888889	0	0	TRUE	Carbon | Citrate cycle, first carbon oxidation, oxaloacetate =>
2-oxoglutarate	3	37
Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	NS	Clade 1	Canonical AioA-associated	1	1	50	100	0	FALSE	Carbon | Citrate cycle, first carbon oxidation, oxaloacetate =>
2-oxoglutarate	4	37
Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	NS	Clade 2	Unknown/uncertain DMSOR	1	1	33.3333333333333	0	0	FALSE	Carbon | Citrate cycle, first carbon oxidation, oxaloacetate =>
2-oxoglutarate	4	37
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	IS	Clade 1	Canonical AioA-associated	1	1	44.1176470588235	0	0	FALSE	Carbon | Citrate cycle, second carbon oxidation, 2-oxoglutarate
=> oxaloacetate	1	36
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	IS	Clade 2	Unknown/uncertain DMSOR	5	5	21.7647058823529	0	0	TRUE	Carbon | Citrate cycle, second carbon oxidation, 2-oxoglutarate
=> oxaloacetate	1	36
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	12	34.0686274509804	8.33333333333333	0	TRUE	Carbon | Citrate cycle, second carbon oxidation, 2-oxoglutarate
=> oxaloacetate	1	36
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	20	37.7941176470588	5	0	TRUE	Carbon | Citrate cycle, second carbon oxidation, 2-oxoglutarate
=> oxaloacetate	1	36
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	AS	Clade 1	Canonical AioA-associated	1	1	17.6470588235294	0	0	FALSE	Carbon | Citrate cycle, second carbon oxidation, 2-oxoglutarate
=> oxaloacetate	2	36
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	AS	Clade 2	Unknown/uncertain DMSOR	1	1	23.5294117647059	0	0	FALSE	Carbon | Citrate cycle, second carbon oxidation, 2-oxoglutarate
=> oxaloacetate	2	36
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	1	17.6470588235294	0	0	FALSE	Carbon | Citrate cycle, second carbon oxidation, 2-oxoglutarate
=> oxaloacetate	2	36
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	6	29.4117647058824	0	0	TRUE	Carbon | Citrate cycle, second carbon oxidation, 2-oxoglutarate
=> oxaloacetate	3	36
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	NS	Clade 1	Canonical AioA-associated	1	1	41.1764705882353	0	0	FALSE	Carbon | Citrate cycle, second carbon oxidation, 2-oxoglutarate
=> oxaloacetate	4	36
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	NS	Clade 2	Unknown/uncertain DMSOR	1	1	5.88235294117647	0	0	FALSE	Carbon | Citrate cycle, second carbon oxidation, 2-oxoglutarate
=> oxaloacetate	4	36
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	IS	Clade 1	Canonical AioA-associated	1	1	34.4827586206897	0	0	FALSE	Carbon | Glycolysis (Embden-Meyerhof pathway), glucose =>
pyruvate	1	35
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	IS	Clade 2	Unknown/uncertain DMSOR	5	5	26.2068965517241	0	0	TRUE	Carbon | Glycolysis (Embden-Meyerhof pathway), glucose =>
pyruvate	1	35
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	12	27.5862068965517	0	0	TRUE	Carbon | Glycolysis (Embden-Meyerhof pathway), glucose =>
pyruvate	1	35
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	20	28.9655172413793	0	0	TRUE	Carbon | Glycolysis (Embden-Meyerhof pathway), glucose =>
pyruvate	1	35
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	AS	Clade 1	Canonical AioA-associated	1	1	31.0344827586207	0	0	FALSE	Carbon | Glycolysis (Embden-Meyerhof pathway), glucose =>
pyruvate	2	35
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	AS	Clade 2	Unknown/uncertain DMSOR	1	1	17.2413793103448	0	0	FALSE	Carbon | Glycolysis (Embden-Meyerhof pathway), glucose =>
pyruvate	2	35
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	1	31.0344827586207	0	0	FALSE	Carbon | Glycolysis (Embden-Meyerhof pathway), glucose =>
pyruvate	2	35
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	6	26.4367816091954	0	0	TRUE	Carbon | Glycolysis (Embden-Meyerhof pathway), glucose =>
pyruvate	3	35
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	NS	Clade 1	Canonical AioA-associated	1	1	24.1379310344828	0	0	FALSE	Carbon | Glycolysis (Embden-Meyerhof pathway), glucose =>
pyruvate	4	35
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	NS	Clade 2	Unknown/uncertain DMSOR	1	1	17.2413793103448	0	0	FALSE	Carbon | Glycolysis (Embden-Meyerhof pathway), glucose =>
pyruvate	4	35
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	IS	Clade 1	Canonical AioA-associated	1	1	50	100	0	FALSE	Carbon | Glycolysis, core module involving three-carbon
compounds	1	34
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	IS	Clade 2	Unknown/uncertain DMSOR	5	5	45	60	0	TRUE	Carbon | Glycolysis, core module involving three-carbon
compounds	1	34
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	12	44.4444444444444	41.6666666666667	0	TRUE	Carbon | Glycolysis, core module involving three-carbon
compounds	1	34
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	20	47.5	75	0	TRUE	Carbon | Glycolysis, core module involving three-carbon
compounds	1	34
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	AS	Clade 1	Canonical AioA-associated	1	1	41.6666666666667	0	0	FALSE	Carbon | Glycolysis, core module involving three-carbon
compounds	2	34
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	AS	Clade 2	Unknown/uncertain DMSOR	1	1	33.3333333333333	0	0	FALSE	Carbon | Glycolysis, core module involving three-carbon
compounds	2	34
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	1	41.6666666666667	0	0	FALSE	Carbon | Glycolysis, core module involving three-carbon
compounds	2	34
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	6	44.4444444444444	50	0	TRUE	Carbon | Glycolysis, core module involving three-carbon
compounds	3	34
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	NS	Clade 1	Canonical AioA-associated	1	1	50	100	0	FALSE	Carbon | Glycolysis, core module involving three-carbon
compounds	4	34
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	NS	Clade 2	Unknown/uncertain DMSOR	1	1	16.6666666666667	0	0	FALSE	Carbon | Glycolysis, core module involving three-carbon
compounds	4	34
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	IS	Clade 1	Canonical AioA-associated	1	1	17.6470588235294	0	0	FALSE	Carbon | Incomplete reductive citrate cycle, acetyl-CoA =>
oxoglutarate	1	33
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	IS	Clade 2	Unknown/uncertain DMSOR	5	5	20	0	0	TRUE	Carbon | Incomplete reductive citrate cycle, acetyl-CoA =>
oxoglutarate	1	33
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	12	26.9607843137255	16.6666666666667	0	TRUE	Carbon | Incomplete reductive citrate cycle, acetyl-CoA =>
oxoglutarate	1	33
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	20	33.8235294117647	15	0	TRUE	Carbon | Incomplete reductive citrate cycle, acetyl-CoA =>
oxoglutarate	1	33
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	AS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE	Carbon | Incomplete reductive citrate cycle, acetyl-CoA =>
oxoglutarate	2	33
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	AS	Clade 2	Unknown/uncertain DMSOR	1	1	23.5294117647059	0	0	FALSE	Carbon | Incomplete reductive citrate cycle, acetyl-CoA =>
oxoglutarate	2	33
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	1	0	0	0	FALSE	Carbon | Incomplete reductive citrate cycle, acetyl-CoA =>
oxoglutarate	2	33
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	6	32.3529411764706	0	0	TRUE	Carbon | Incomplete reductive citrate cycle, acetyl-CoA =>
oxoglutarate	3	33
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	NS	Clade 1	Canonical AioA-associated	1	1	23.5294117647059	0	0	FALSE	Carbon | Incomplete reductive citrate cycle, acetyl-CoA =>
oxoglutarate	4	33
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	NS	Clade 2	Unknown/uncertain DMSOR	1	1	11.7647058823529	0	0	FALSE	Carbon | Incomplete reductive citrate cycle, acetyl-CoA =>
oxoglutarate	4	33
Carbon	Methane oxidation, methanotroph, methane => formaldehyde	Previous algorithm: distinct-gene set coverage	IS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE	Carbon | Methane oxidation, methanotroph, methane =>
formaldehyde	1	32
Carbon	Methane oxidation, methanotroph, methane => formaldehyde	Previous algorithm: distinct-gene set coverage	IS	Clade 2	Unknown/uncertain DMSOR	5	5	0	0	0	TRUE	Carbon | Methane oxidation, methanotroph, methane =>
formaldehyde	1	32
Carbon	Methane oxidation, methanotroph, methane => formaldehyde	Previous algorithm: distinct-gene set coverage	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	12	2.77777777777778	0	0	TRUE	Carbon | Methane oxidation, methanotroph, methane =>
formaldehyde	1	32
Carbon	Methane oxidation, methanotroph, methane => formaldehyde	Previous algorithm: distinct-gene set coverage	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	20	0.833333333333333	0	0	TRUE	Carbon | Methane oxidation, methanotroph, methane =>
formaldehyde	1	32
Carbon	Methane oxidation, methanotroph, methane => formaldehyde	Previous algorithm: distinct-gene set coverage	AS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE	Carbon | Methane oxidation, methanotroph, methane =>
formaldehyde	2	32
Carbon	Methane oxidation, methanotroph, methane => formaldehyde	Previous algorithm: distinct-gene set coverage	AS	Clade 2	Unknown/uncertain DMSOR	1	1	0	0	0	FALSE	Carbon | Methane oxidation, methanotroph, methane =>
formaldehyde	2	32
Carbon	Methane oxidation, methanotroph, methane => formaldehyde	Previous algorithm: distinct-gene set coverage	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	1	0	0	0	FALSE	Carbon | Methane oxidation, methanotroph, methane =>
formaldehyde	2	32
Carbon	Methane oxidation, methanotroph, methane => formaldehyde	Previous algorithm: distinct-gene set coverage	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	6	0	0	0	TRUE	Carbon | Methane oxidation, methanotroph, methane =>
formaldehyde	3	32
Carbon	Methane oxidation, methanotroph, methane => formaldehyde	Previous algorithm: distinct-gene set coverage	NS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE	Carbon | Methane oxidation, methanotroph, methane =>
formaldehyde	4	32
Carbon	Methane oxidation, methanotroph, methane => formaldehyde	Previous algorithm: distinct-gene set coverage	NS	Clade 2	Unknown/uncertain DMSOR	1	1	0	0	0	FALSE	Carbon | Methane oxidation, methanotroph, methane =>
formaldehyde	4	32
Carbon	Methanogenesis, CO2 => methane	Previous algorithm: distinct-gene set coverage	IS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE	Carbon | Methanogenesis, CO2 => methane	1	31
Carbon	Methanogenesis, CO2 => methane	Previous algorithm: distinct-gene set coverage	IS	Clade 2	Unknown/uncertain DMSOR	5	5	5.4054054054054	0	0	TRUE	Carbon | Methanogenesis, CO2 => methane	1	31
Carbon	Methanogenesis, CO2 => methane	Previous algorithm: distinct-gene set coverage	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	12	0	0	0	TRUE	Carbon | Methanogenesis, CO2 => methane	1	31
Carbon	Methanogenesis, CO2 => methane	Previous algorithm: distinct-gene set coverage	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	20	0.675675675675676	0	0	TRUE	Carbon | Methanogenesis, CO2 => methane	1	31
Carbon	Methanogenesis, CO2 => methane	Previous algorithm: distinct-gene set coverage	AS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE	Carbon | Methanogenesis, CO2 => methane	2	31
Carbon	Methanogenesis, CO2 => methane	Previous algorithm: distinct-gene set coverage	AS	Clade 2	Unknown/uncertain DMSOR	1	1	2.7027027027027	0	0	FALSE	Carbon | Methanogenesis, CO2 => methane	2	31
